0.461,0.661,0.371,0.331
0.731,0.651,0.431,0.331
0.161,0.651,0.741,0.341
0.411,0.661,0.521,0.321
0.731,0.661,0.271,0.331
0.321,0.661,0.691,0.351
0.611,0.621,0.361,0.321
0.631,0.651,0.341,0.321
0.511,0.651,0.571,0.151
0.101,0.661,0.731,0.321
0.421,0.661,0.531,0.321
0.701,0.651,0.151,0.331
0.231,0.661,0.681,0.321
0.481,0.651,0.421,0.331
0.741,0.651,0.151,0.331
0.521,0.661,0.431,0.331
0.151,0.651,0.661,0.341
0.281,0.661,0.631,0.321
0.621,0.661,0.161,0.361
0.221,0.651,0.731,0.321
0.501,0.661,0.431,0.321
0.741,0.651,0.131,0.331
0.491,0.661,0.671,0.181
0.741,0.541,0.731,0.321
0.201,0.651,0.731,0.521
0.521,0.651,0.451,0.331
0.201,0.661,0.181,0.201
0.521,0.661,0.571,0.321
0.741,0.661,0.281,0.321
0.571,0.651,0.561,0.321
0.181,0.661,0.571,0.331
0.271,0.661,0.641,0.321
0.531,0.661,0.361,0.321
0.741,0.511,0.251,0.201
0.351,0.651,0.731,0.331
0.661,0.661,0.451,0.321
0.741,0.661,0.141,0.331
0.711,0.661,0.691,0.331
0.151,0.651,0.731,0.331
0.401,0.661,0.581,0.341
0.651,0.651,0.391,0.331
0.211,0.661,0.171,0.321
0.521,0.661,0.601,0.331
0.431,0.661,0.311,0.341
0.291,0.691,0.591,0.201
0.161,0.651,0.531,0.321
0.351,0.661,0.641,0.321
0.651,0.661,0.461,0.311
0.241,0.551,0.151,0.311
0.561,0.641,0.591,0.881
0.741,0.571,0.301,1.071
0.601,0.661,0.561,0.341
0.191,0.651,0.731,0.321
0.321,0.571,0.531,0.331
0.641,0.661,0.521,0.341
0.221,0.651,0.231,0.321
0.531,0.661,0.631,0.341
0.701,0.661,0.311,0.331
0.531,0.571,0.161,0.321
0.491,0.661,0.581,0.321
0.211,0.661,0.701,0.321
0.441,0.661,0.171,0.341
0.131,0.651,0.351,0.341
0.431,0.511,0.071,0.321
0.751,0.661,0.421,0.321
0.531,0.661,0.151,0.251
0.141,0.651,0.671,0.321
0.271,0.601,0.491,0.321
0.551,0.551,0.571,0.141
0.101,0.651,0.281,0.341
