-65,-68,-48,-54,-63,-60
-65,-68,-48,-55,-63,-60
-64,-68,-48,-55,-61,-59
-65,-67,-47,-56,-62,-58
-64,-66,-49,-54,-61,-58
-66,-68,-50,-56,-62,-58
-64,-68,-50,-57,-61,-59
-65,-68,-49,-56,-63,-59
-63,-69,-47,-56,-64,-60
-65,-69,-48,-56,-63,-59
-66,-69,-48,-57,-63,-58
-65,-69,-48,-56,-65,-59
-63,-71,-48,-56,-62,-58
-63,-70,-49,-56,-63,-58
-63,-69,-49,-55,-63,-58
-63,-72,-46,-57,-61,-58
-60,-72,-48,-57,-61,-58
-62,-69,-49,-56,-63,-59
-62,-73,-49,-57,-62,-59
-62,-71,-48,-56,-62,-59
-61,-69,-49,-56,-62,-59
-60,-70,-49,-56,-63,-59
-62,-70,-48,-55,-62,-59
-61,-70,-47,-57,-63,-59
-60,-70,-47,-57,-61,-59
-58,-67,-49,-57,-61,-59
-61,-69,-47,-57,-62,-59
-58,-69,-49,-56,-61,-59
-61,-68,-47,-56,-61,-59
-62,-69,-47,-56,-62,-59
-59,-68,-49,-56,-62,-59
-59,-67,-50,-57,-62,-59
-60,-69,-48,-56,-61,-59
-60,-69,-49,-56,-61,-59
-62,-69,-47,-56,-61,-59
-58,-68,-48,-56,-62,-59
-61,-67,-49,-57,-63,-59
-60,-69,-49,-57,-64,-58
-62,-68,-50,-56,-62,-59
-60,-69,-49,-57,-63,-58
-59,-68,-50,-56,-62,-58
-60,-69,-48,-56,-62,-58
-61,-70,-48,-57,-62,-58
-61,-70,-48,-56,-62,-59
-61,-72,-47,-56,-61,-58
-61,-70,-50,-57,-63,-59
-61,-68,-48,-56,-63,-59
-61,-70,-47,-56,-62,-58
-60,-70,-49,-57,-62,-58
-60,-70,-49,-57,-63,-59
