-77,-70,-69,-60,-73,-70,-80,-68,-76,-72,-80,-70
-77,-69,-72,-59,-74,-69,-81,-68,-76,-69,-79,-70
-78,-71,-70,-59,-71,-72,-82,-64,-76,-67,-80,-71
-79,-72,-69,-59,-71,-69,-81,-62,-75,-69,-80,-72
-81,-71,-71,-60,-69,-73,-82,-63,-76,-68,-80,-73
-81,-74,-71,-60,-70,-73,-81,-68,-76,-72,-79,-72
-84,-72,-71,-59,-68,-73,-82,-64,-77,-69,-80,-72
-84,-74,-73,-61,-69,-73,-80,-64,-76,-69,-79,-71
-78,-73,-70,-60,-69,-71,-82,-65,-78,-66,-81,-71
-79,-68,-70,-61,-69,-73,-84,-65,-78,-70,-81,-71
-78,-73,-68,-60,-69,-74,-86,-65,-79,-68,-79,-74
-78,-73,-69,-60,-67,-67,-84,-66,-73,-70,-79,-73
-78,-71,-70,-62,-71,-61,-83,-63,-77,-72,-78,-74
-80,-77,-69,-65,-69,-62,-83,-65,-77,-75,-78,-75
-78,-77,-69,-68,-71,-61,-84,-64,-75,-74,-80,-72
-79,-68,-69,-63,-70,-63,-85,-65,-77,-69,-81,-71
-79,-73,-69,-65,-71,-62,-84,-70,-78,-74,-81,-70
-79,-67,-70,-64,-68,-60,-83,-69,-77,-72,-80,-70
-76,-68,-70,-60,-68,-57,-83,-67,-76,-69,-81,-73
-78,-70,-70,-60,-68,-60,-82,-70,-78,-70,-81,-68
-77,-69,-69,-63,-69,-65,-82,-65,-75,-70,-80,-63
-81,-67,-69,-63,-66,-62,-83,-65,-76,-68,-81,-66
-82,-70,-69,-63,-68,-60,-82,-67,-76,-66,-81,-65
-81,-73,-70,-63,-69,-58,-84,-72,-77,-65,-83,-71
-80,-72,-69,-59,-69,-62,-82,-68,-77,-70,-82,-69
-80,-70,-70,-59,-68,-61,-82,-73,-76,-66,-83,-67
-78,-67,-69,-61,-68,-62,-82,-66,-76,-74,-83,-68
-75,-75,-71,-68,-66,-62,-83,-73,-76,-76,-78,-68
-78,-71,-69,-63,-69,-62,-82,-63,-78,-68,-83,-68
-78,-76,-68,-66,-68,-59,-82,-68,-82,-70,-83,-67
-76,-74,-71,-66,-68,-58,-81,-70,-81,-67,-79,-70
-78,-68,-71,-64,-66,-61,-82,-69,-78,-66,-82,-70
-80,-73,-74,-65,-67,-66,-80,-68,-76,-66,-83,-71
-81,-70,-77,-64,-68,-66,-80,-66,-77,-68,-81,-70
-78,-68,-75,-64,-71,-63,-81,-71,-82,-70,-82,-72
-80,-68,-71,-63,-69,-63,-81,-68,-82,-65,-82,-69
-77,-71,-69,-64,-70,-62,-82,-71,-78,-66,-80,-70
-76,-66,-68,-61,-68,-60,-82,-66,-82,-66,-84,-70
-77,-69,-70,-64,-68,-59,-82,-66,-78,-68,-83,-73
-77,-68,-70,-59,-67,-60,-83,-69,-76,-67,-81,-69
-78,-69,-69,-64,-68,-65,-83,-67,-77,-67,-83,-74
-79,-69,-68,-59,-69,-60,-80,-63,-77,-66,-83,-71
-78,-69,-70,-62,-68,-60,-79,-65,-76,-67,-82,-72
-79,-68,-71,-61,-67,-61,-78,-64,-76,-67,-80,-72
-78,-68,-69,-61,-69,-63,-79,-63,-76,-66,-81,-71
-76,-70,-67,-63,-66,-62,-80,-65,-76,-66,-82,-71
-77,-70,-71,-59,-66,-63,-79,-65,-76,-66,-83,-72
-77,-69,-70,-59,-72,-63,-79,-66,-76,-66,-87,-70
-77,-70,-70,-64,-70,-64,-79,-67,-75,-69,-81,-71
-79,-71,-69,-66,-70,-61,-81,-67,-75,-66,-85,-70
